company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_pct,roa_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,fcf_conversion_pct,cfo_quality_score,capital_allocation_pattern,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ADANIENSOL,2014-03,,,0.0,0.0,,0.0,False,,,False,0.0,,0.0,,,,Cash Accumulator,0.0,10.0,,,,,,,
ADANIENSOL,2015-03,-5.34,77.1,-0.65,-857.14,-0.06,8.96,True,1.42,,True,9701.0,0.01,-1899.0,1422.9,-1880.2,High Quality,Growth Funded by Debt,-0.7,9.94,-0.0,84.42,-26.72,,,,-476.26
ADANIENSOL,2016-03,16.77,87.83,13.77,-206.0,3.13,3.21,False,2.09,,False,8565.0,0.19,728.0,37.19,37.78,High Quality,Shareholder Returns,36.8,24.29,0.0,73.09,70.37,,,,190.42
ADANIENSOL,2017-03,14.46,68.95,14.12,-198.86,3.25,3.05,False,2.22,,False,8870.0,0.22,459.0,60.15,23.15,High Quality,Shareholder Returns,41.6,26.79,0.0,70.06,76.11,,,,122.71
ADANIENSOL,2018-03,28.98,71.65,18.87,-114.56,6.62,1.72,False,3.31,,False,10428.0,0.23,-994.0,80.93,-35.17,High Quality,Mixed,114.3,55.06,0.0,60.4,55.73,,,,-234.88
ADANIENSOL,2019-03,7.65,38.03,6.95,-194.5,1.72,2.5,False,2.24,,False,19801.0,0.22,-459.0,41.75,-16.52,High Quality,Mixed,55.9,73.12,0.0,61.85,35.47,,,,-110.67
ADANIENSOL,2020-03,6.18,37.3,8.31,-206.64,1.78,2.85,False,2.02,,False,23933.0,0.29,-206.0,49.43,-4.84,High Quality,Mixed,70.6,77.26,0.0,61.06,47.63,,,,-47.43
ADANIENSOL,2021-03,13.0,39.79,14.46,-225.85,2.98,3.04,False,2.39,,False,26653.0,0.23,-225.0,40.39,-5.7,High Quality,Shareholder Returns,129.0,81.08,0.0,62.67,38.12,,,,-48.64
ADANIENSOL,2022-03,10.98,37.36,12.47,-226.6,2.6,3.02,False,2.32,,False,29341.0,0.24,161.0,34.96,3.83,High Quality,Shareholder Returns,123.6,90.12,0.0,63.0,36.39,,,,46.76
ADANIENSOL,2023-03,9.64,33.99,10.9,-222.74,2.38,2.92,False,2.19,,False,32900.0,0.25,-922.0,35.35,-20.41,High Quality,Mixed,128.1,105.37,0.0,63.54,28.41,,,,-224.77
ADANIENSOL,2024-03,7.2,34.39,9.46,-217.51,2.04,2.93,False,2.28,,False,36304.0,0.28,1095.0,29.76,19.17,High Quality,Shareholder Returns,119.6,113.37,0.0,63.33,36.36,,,,278.43
ADANIENT,2013-03,2.63,12.98,5.69,-267.2,1.09,3.24,False,2.23,,False,69009.0,0.41,-7124.0,31.89,-118.32,High Quality,Mixed,1218.0,194.51,0.82,61.97,16.53,,,,-1778.65
ADANIENT,2014-03,4.82,17.08,11.14,-232.01,2.24,3.03,False,1.85,,False,71692.0,0.47,221.0,14.57,2.36,High Quality,Shareholder Returns,2646.0,215.97,0.26,60.95,14.97,,,,59.8
ADANIENT,2015-03,3.56,19.31,8.93,-243.15,1.76,3.25,False,1.88,,False,82827.0,0.49,-2933.0,17.78,-23.56,High Quality,Mixed,2298.0,233.89,0.35,63.93,13.24,,,,-729.69
ADANIENT,2016-03,2.94,4.95,7.47,-127.7,2.4,1.43,False,2.01,,False,18364.0,0.82,3287.0,5.37,195.19,High Quality,Shareholder Returns,1000.0,121.62,0.4,45.99,15.03,,,,824.95
ADANIENT,2017-03,2.53,5.21,6.54,-131.09,1.94,1.47,False,2.11,,False,19804.0,0.77,-686.0,4.0,-36.07,High Quality,Mixed,925.0,128.51,0.43,43.78,2.12,,,,-168.75
ADANIENT,2018-03,1.65,5.67,3.94,-99.02,1.05,1.17,False,1.92,,False,16176.0,0.64,-4707.0,21.29,-230.96,High Quality,Mixed,594.0,137.17,1.01,31.27,8.19,,,,-1175.09
ADANIENT,2019-03,1.25,4.88,3.43,-61.23,1.19,0.76,False,1.52,,False,9732.0,0.95,5723.0,6.16,290.66,High Quality,Liquidating Assets,506.0,134.15,1.19,26.43,8.01,,,,1432.22
ADANIENT,2020-03,2.4,5.29,6.14,-58.13,2.22,0.73,False,2.01,,False,10467.0,0.93,1372.0,2.49,59.81,High Quality,Shareholder Returns,1040.0,154.06,0.96,26.49,5.65,,,,345.69
ADANIENT,2021-03,2.65,6.34,6.1,-77.54,2.03,0.95,False,2.18,,False,10724.0,0.77,-4568.0,21.78,-182.28,High Quality,Mixed,1046.0,155.99,1.15,31.44,10.23,,,,-1139.31
ADANIENT,2022-03,1.14,5.35,3.54,-161.2,0.78,1.87,False,1.87,,False,37312.0,0.68,-15656.0,24.55,-421.54,High Quality,Mixed,788.0,202.34,1.78,40.95,2.0,,,,-3912.64
ADANIENT,2023-03,1.9,6.91,7.33,-125.07,1.71,1.61,False,2.43,,False,46890.0,0.9,2167.0,12.12,24.57,High Quality,Shareholder Returns,2422.0,289.92,0.25,37.66,13.82,,,,544.49
ADANIENT,2024-03,3.46,11.8,8.53,-128.05,2.08,1.67,False,2.75,,False,56609.0,0.6,-8455.0,19.46,-74.32,High Quality,Mixed,3335.0,342.77,0.15,40.67,10.69,15.77,22.32,13.3,-2110.23
ADANIGREEN,2017-03,-9.36,80.28,-3.91,-256.77,-0.76,3.61,False,1.45,,True,4321.0,0.08,-1483.0,301.0,-367.99,Accrual Risk,Mixed,-4.7,9.44,-0.0,70.57,5.58,,,,-374.26
ADANIGREEN,2018-03,-9.32,56.96,-10.29,-478.82,-0.88,7.36,True,1.6,,False,9777.0,0.09,-3779.0,299.19,-448.28,Accrual Risk,Mixed,-13.8,8.57,-0.0,62.79,43.85,,,,-949.87
ADANIGREEN,2019-03,-23.08,74.15,-24.57,-321.07,-3.24,5.76,True,1.43,,True,11065.0,0.14,-1041.0,129.54,-68.22,Accrual Risk,Mixed,-47.5,12.36,-0.0,76.01,78.96,,,,-272.97
ADANIGREEN,2020-03,-2.67,56.89,-2.89,-487.68,-0.37,6.31,True,1.35,,True,14390.0,0.14,-1778.0,146.84,-122.62,Accrual Risk,Mixed,-6.8,15.07,-0.0,80.69,77.09,,,,-445.98
ADANIGREEN,2021-03,5.83,71.73,8.27,-817.87,0.63,11.0,True,1.35,,True,23707.0,0.11,-7536.0,292.48,-336.28,Accrual Risk,Mixed,18.2,14.07,0.0,84.38,51.25,,,,-1880.32
ADANIGREEN,2022-03,9.53,68.42,18.71,-1424.2,0.83,20.21,True,1.54,,False,52258.0,0.09,-15603.0,364.89,-444.28,Accrual Risk,Mixed,48.9,16.71,0.0,89.62,60.92,,,,-3893.48
ADANIGREEN,2023-03,12.51,63.91,13.32,-572.44,1.45,7.42,True,1.94,,False,53074.0,0.12,3408.0,49.6,68.57,Accrual Risk,Reinvestor,97.3,46.11,0.0,81.04,93.43,,,,858.82
ADANIGREEN,2024-03,13.67,79.37,12.81,-490.24,1.43,6.6,True,1.71,,False,63343.0,0.1,-13347.0,228.42,-182.39,Accrual Risk,Mixed,126.0,62.08,0.0,73.63,83.66,78.98,,,-3329.77
ADANIPORTS,2013-03,45.82,66.59,25.63,-135.53,7.79,1.82,False,5.03,,False,11398.0,0.17,-3757.0,143.58,-157.72,Moderate,Mixed,819.5,31.89,0.73,55.24,38.55,,,,-919.44
ADANIPORTS,2013-03,45.82,66.59,25.63,-135.53,7.79,1.82,False,5.03,,False,11398.0,0.17,-3757.0,143.58,-157.72,Moderate,Mixed,819.5,31.89,0.73,55.24,38.55,,,,-919.44
ADANIPORTS,2014-03,36.05,60.43,19.86,-106.86,7.06,1.48,False,3.69,,False,12916.0,0.2,-1378.0,51.97,-47.21,Moderate,Mixed,870.5,42.34,0.69,52.6,23.44,,,,-328.76
ADANIPORTS,2014-03,36.05,60.43,19.86,-106.86,7.06,1.48,False,3.69,,False,12916.0,0.2,-1378.0,51.97,-47.21,Moderate,Mixed,870.5,42.34,0.69,52.6,23.44,,,,-328.76
ADANIPORTS,2015-03,37.78,63.43,21.59,-118.81,7.24,1.65,False,3.9,,False,17516.0,0.19,572.0,40.39,14.66,Moderate,Reinvestor,1162.0,52.0,0.43,55.41,49.69,,,,159.65
ADANIPORTS,2015-03,37.78,63.43,21.59,-118.81,7.24,1.65,False,3.9,,False,17516.0,0.19,572.0,40.39,14.66,Moderate,Reinvestor,1162.0,52.0,0.43,55.41,49.69,,,,159.65
