file,raw_value,company_id
profitandloss.xlsx,TTM,ICICIGI
profitandloss.xlsx,TTM,ICICIPRULI
profitandloss.xlsx,TTM,INDUSINDBK
profitandloss.xlsx,TTM,INFY
profitandloss.xlsx,TTM,IOC
profitandloss.xlsx,TTM,IRCTC
profitandloss.xlsx,TTM,IRFC
profitandloss.xlsx,TTM,ITC
profitandloss.xlsx,TTM,JINDALSTEL
profitandloss.xlsx,TTM,JIOFIN
profitandloss.xlsx,TTM,JSWENERGY
profitandloss.xlsx,TTM,JSWSTEEL
profitandloss.xlsx,TTM,KOTAKBANK
profitandloss.xlsx,TTM,LICI
profitandloss.xlsx,TTM,LODHA
profitandloss.xlsx,TTM,LT
profitandloss.xlsx,TTM,LTIM
profitandloss.xlsx,TTM,M&M
profitandloss.xlsx,TTM,MARUTI
profitandloss.xlsx,TTM,MOTHERSON
profitandloss.xlsx,TTM,NAUKRI
profitandloss.xlsx,TTM,NESTLEIND
profitandloss.xlsx,TTM,NHPC
profitandloss.xlsx,TTM,NTPC
profitandloss.xlsx,TTM,ONGC
profitandloss.xlsx,TTM,PFC
profitandloss.xlsx,TTM,PIDILITIND
profitandloss.xlsx,TTM,PNB
profitandloss.xlsx,TTM,POWERGRID
profitandloss.xlsx,TTM,RECLTD
profitandloss.xlsx,TTM,RELIANCE
profitandloss.xlsx,TTM,SBILIFE
profitandloss.xlsx,TTM,SBIN
profitandloss.xlsx,TTM,SHREECEM
profitandloss.xlsx,TTM,SHRIRAMFIN
profitandloss.xlsx,TTM,SUNPHARMA
profitandloss.xlsx,TTM,TATACONSUM
profitandloss.xlsx,TTM,TATAMOTORS
profitandloss.xlsx,TTM,TATAPOWER
profitandloss.xlsx,TTM,TATASTEEL
profitandloss.xlsx,TTM,TCS
profitandloss.xlsx,TTM,TECHM
profitandloss.xlsx,TTM,TITAN
profitandloss.xlsx,TTM,TORNTPHARM
profitandloss.xlsx,TTM,TRENT
profitandloss.xlsx,TTM,TVSMOTOR
profitandloss.xlsx,TTM,ULTRACEMCO
profitandloss.xlsx,TTM,UNIONBANK
profitandloss.xlsx,TTM,UNITDSPR
profitandloss.xlsx,TTM,VBL
profitandloss.xlsx,TTM,VEDL
profitandloss.xlsx,TTM,WIPRO
profitandloss.xlsx,TTM,ZOMATO
profitandloss.xlsx,TTM,ZYDUSLIFE
profitandloss.xlsx,TTM,INDIGO
profitandloss.xlsx,TTM,ABB
profitandloss.xlsx,TTM,ADANIENSOL
profitandloss.xlsx,TTM,ADANIENT
profitandloss.xlsx,TTM,ADANIGREEN
profitandloss.xlsx,TTM,ADANIPORTS
profitandloss.xlsx,TTM,ADANIPORTS
profitandloss.xlsx,TTM,ADANIPOWER
profitandloss.xlsx,TTM,AMBUJACEM
profitandloss.xlsx,TTM,APOLLOHOSP
profitandloss.xlsx,TTM,ASIANPAINT
profitandloss.xlsx,TTM,ATGL
profitandloss.xlsx,TTM,BAJAJ-AUTO
profitandloss.xlsx,TTM,AXISBANK
profitandloss.xlsx,TTM,BAJAJFINSV
